round,loss,accuracy,uncertainty
1,0.6820005008152553,0.6333333333333333,0.6896745681762695
2,0.5633141653878349,0.6333333333333333,0.6504569371541341
3,0.3916671999863216,0.6,0.5653773625691731
4,0.27668624903474537,0.6333333333333333,0.48982648849487304
5,0.2081657818385533,0.6666666666666666,0.3977705955505371
1,0.6789778300694057,0.5666666666666667,0.6917001088460286
2,0.585145924772535,0.6,0.664508310953776
3,0.46401287828172955,0.6,0.5989370981852213
4,0.3107563257217407,0.6333333333333333,0.43248577117919923
5,0.22189188216413772,0.6666666666666666,0.396188227335612
1,0.6791241424424308,0.5666666666666667,0.6910027186075847
2,0.5640638044902256,0.6666666666666666,0.6455172856648763
3,0.384195830140795,0.6333333333333333,0.47148119608561195
4,0.28380253485270907,0.6333333333333333,0.4134428342183431
5,0.22798424746309007,0.7,0.43408203125
1,0.7071351323808942,0.5,0.6921472549438477
2,0.6494925958769662,0.6333333333333333,0.6758970896402995
3,0.5406285694667271,0.6,0.5427027384440104
4,0.3957097317491259,0.5666666666666667,0.5620957692464192
5,0.2781143678086145,0.6666666666666666,0.4867413520812988
1,0.6486104811940875,0.6333333333333333,0.6811617533365886
2,0.49939421245029997,0.6,0.621910031636556
3,0.44610474365098135,0.6333333333333333,0.5140691121419271
4,0.32784911351544516,0.6333333333333333,0.4894768079121908
5,0.33554154208728243,0.7,0.5291074752807617
1,0.7044805118015834,0.5666666666666667,0.6921229044596354
2,0.6434759667941502,0.6,0.6856297810872396
3,0.5538173062460763,0.5333333333333333,0.6510105133056641
4,0.4109385311603546,0.6333333333333333,0.5667003631591797
5,0.3466408508164542,0.6333333333333333,0.39771607716878254
